Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-11-30 23:15,HTF runner,4217.325,11.85,49975.30125,-10,-0.02,0,0.00,0,0.00,-14.99,-0.01
1,Entry long,2025-11-30 23:15,L,4217.325,11.85,49975.30125,-10,-0.02,0,0.00,0,0.00,-14.99,-0.01
2,Exit long,2025-12-02 06:15,S,4223.965,11.85,49975.30125,68.68,0.14,556.4,1.11,-294.26,-0.59,58.69,0.06
2,Entry long,2025-11-30 23:15,L,4217.325,11.85,49975.30125,68.68,0.14,556.4,1.11,-294.26,-0.59,58.69,0.06
3,Exit short,2025-12-02 06:15,2R partial,4216.816,11.84,50011.7456,74.65,0.15,79.64,0.16,-10.15,-0.02,128.34,0.13
3,Entry short,2025-12-02 06:15,S,4223.965,11.84,50011.7456,74.65,0.15,79.64,0.16,-10.15,-0.02,128.34,0.13
4,Exit short,2025-12-02 10:15,L,4186.995,11.84,50011.7456,427.77,0.86,502.05,1.00,-10.15,-0.02,561.1,0.56
4,Entry short,2025-12-02 06:15,S,4223.965,11.84,50011.7456,427.77,0.86,502.05,1.00,-10.15,-0.02,561.1,0.56
5,Exit long,2025-12-02 10:15,HTF runner,4186.995,12.01,50285.80995,-10.06,-0.02,0,0.00,0,0.00,546.02,0.55
5,Entry long,2025-12-02 10:15,L,4186.995,12.01,50285.80995,-10.06,-0.02,0,0.00,0,0.00,546.02,0.55
6,Exit long,2025-12-02 12:45,2R partial,4209.618,12,50243.94,261.4,0.52,266.45,0.53,-61.24,-0.12,812.45,0.81
6,Entry long,2025-12-02 10:15,L,4186.995,12,50243.94,261.4,0.52,266.45,0.53,-61.24,-0.12,812.45,0.81
7,Exit short,2025-12-02 14:15,2R partial,4227.882,11.93,50387.72695,-60.99,-0.12,13.33,0.03,-55.94,-0.11,746.42,0.75
7,Entry short,2025-12-02 14:15,S,4223.615,11.93,50387.72695,-60.99,-0.12,13.33,0.03,-55.94,-0.11,746.42,0.75
8,Exit short,2025-12-02 14:15,HTF runner,4227.882,11.93,50387.72695,-60.99,-0.12,13.33,0.03,-55.94,-0.11,690.47,0.69
8,Entry short,2025-12-02 14:15,S,4223.615,11.93,50387.72695,-60.99,-0.12,13.33,0.03,-55.94,-0.11,690.47,0.69
9,Exit long,2025-12-02 23:15,HTF runner,4207.905,11.96,50326.5438,-10.07,-0.02,0,0.00,0,0.00,675.37,0.68
9,Entry long,2025-12-02 23:15,L,4207.905,11.96,50326.5438,-10.07,-0.02,0,0.00,0,0.00,675.37,0.68
10,Exit long,2025-12-03 02:15,S,4224.105,11.96,50326.5438,183.67,0.36,193.02,0.38,-43.78,-0.09,864.07,0.86
10,Entry long,2025-12-02 23:15,L,4207.905,11.96,50326.5438,183.67,0.36,193.02,0.38,-43.78,-0.09,864.07,0.86
11,Exit short,2025-12-03 02:30,Margin call,4229.065,0.2,844.821,-1.16,-0.14,0.85,0.10,-1.08,-0.13,852.91,0.85
11,Entry short,2025-12-03 02:15,S,4224.105,0.2,844.821,-1.16,-0.14,0.85,0.10,-1.08,-0.13,852.91,0.85
12,Exit short,2025-12-03 05:45,2R partial,4204.008,11.93,50393.57265,229.7,0.46,234.72,0.47,-64.21,-0.13,1087.65,1.09
12,Entry short,2025-12-03 02:15,S,4224.105,11.93,50393.57265,229.7,0.46,234.72,0.47,-64.21,-0.13,1087.65,1.09
13,Exit short,2025-12-03 10:15,L,4195.5,11.74,49590.9927,325.94,0.66,333.21,0.67,-63.19,-0.13,1418.55,1.42
13,Entry short,2025-12-03 02:15,S,4224.105,11.74,49590.9927,325.94,0.66,333.21,0.67,-63.19,-0.13,1418.55,1.42
14,Exit long,2025-12-03 10:15,HTF runner,4195.5,12.09,50723.595,-10.14,-0.02,0,0.00,0,0.00,1403.34,1.40
14,Entry long,2025-12-03 10:15,L,4195.5,12.09,50723.595,-10.14,-0.02,0,0.00,0,0.00,1403.34,1.40
15,Exit long,2025-12-03 12:30,2R partial,4211.336,12.08,50681.64,181.14,0.36,186.23,0.37,-15.4,-0.03,1589.55,1.59
15,Entry long,2025-12-03 10:15,L,4195.5,12.08,50681.64,181.14,0.36,186.23,0.37,-15.4,-0.03,1589.55,1.59
16,Exit short,2025-12-03 14:15,Margin call,4230.945,0.16,676.2784,-0.81,-0.12,0,0.00,-0.74,-0.11,1578.65,1.58
16,Entry short,2025-12-03 14:15,S,4226.74,0.16,676.2784,-0.81,-0.12,0,0.00,-0.74,-0.11,1578.65,1.58
17,Exit short,2025-12-03 14:30,2R partial,4238.57,12.01,50763.1474,-152.25,-0.30,60.38,0.12,-147.15,-0.29,1431.48,1.43
17,Entry short,2025-12-03 14:15,S,4226.74,12.01,50763.1474,-152.25,-0.30,60.38,0.12,-147.15,-0.29,1431.48,1.43
18,Exit short,2025-12-03 14:30,HTF runner,4238.57,11.86,50129.1364,-150.34,-0.30,59.62,0.12,-145.32,-0.29,1286.15,1.29
18,Entry short,2025-12-03 14:15,S,4226.74,11.86,50129.1364,-150.34,-0.30,59.62,0.12,-145.32,-0.29,1286.15,1.29
19,Exit long,2025-12-04 14:15,HTF runner,4204.945,12.04,50627.5378,-10.13,-0.02,0,0.00,0,0.00,1270.96,1.27
19,Entry long,2025-12-04 14:15,L,4204.945,12.04,50627.5378,-10.13,-0.02,0,0.00,0,0.00,1270.96,1.27
