Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-11-30 23:15,HTF runner,4217.325,0.59,2488.22175,-0.5,-0.02,0,0.00,0,0.00,-0.75,0.00
1,Entry long,2025-11-30 23:15,L,4217.325,0.59,2488.22175,-0.5,-0.02,0,0.00,0,0.00,-0.75,0.00
2,Exit long,2025-12-02 06:15,S,4223.965,0.59,2488.22175,3.42,0.14,27.7,1.11,-14.65,-0.59,2.92,0.00
2,Entry long,2025-11-30 23:15,L,4217.325,0.59,2488.22175,3.42,0.14,27.7,1.11,-14.65,-0.59,2.92,0.00
3,Exit short,2025-12-02 06:15,2R partial,4216.816,0.59,2492.13935,3.72,0.15,3.97,0.16,-0.51,-0.02,6.39,0.01
3,Entry short,2025-12-02 06:15,S,4223.965,0.59,2492.13935,3.72,0.15,3.97,0.16,-0.51,-0.02,6.39,0.01
4,Exit short,2025-12-02 10:15,L,4186.995,0.59,2492.13935,21.32,0.86,25.02,1.00,-0.51,-0.02,27.96,0.03
4,Entry short,2025-12-02 06:15,S,4223.965,0.59,2492.13935,21.32,0.86,25.02,1.00,-0.51,-0.02,27.96,0.03
5,Exit long,2025-12-02 10:15,HTF runner,4186.995,0.6,2512.197,-0.5,-0.02,0,0.00,0,0.00,27.21,0.03
5,Entry long,2025-12-02 10:15,L,4186.995,0.6,2512.197,-0.5,-0.02,0,0.00,0,0.00,27.21,0.03
6,Exit long,2025-12-02 12:45,2R partial,4209.618,0.59,2470.32705,12.85,0.52,13.1,0.53,-3.01,-0.12,40.31,0.04
6,Entry long,2025-12-02 10:15,L,4186.995,0.59,2470.32705,12.85,0.52,13.1,0.53,-3.01,-0.12,40.31,0.04
7,Exit short,2025-12-02 14:15,2R partial,4227.882,0.59,2491.93285,-3.02,-0.12,0.66,0.03,-2.77,-0.11,37.04,0.04
7,Entry short,2025-12-02 14:15,S,4223.615,0.59,2491.93285,-3.02,-0.12,0.66,0.03,-2.77,-0.11,37.04,0.04
8,Exit short,2025-12-02 14:15,HTF runner,4227.882,0.59,2491.93285,-3.02,-0.12,0.66,0.03,-2.77,-0.11,34.28,0.03
8,Entry short,2025-12-02 14:15,S,4223.615,0.59,2491.93285,-3.02,-0.12,0.66,0.03,-2.77,-0.11,34.28,0.03
9,Exit long,2025-12-02 23:15,HTF runner,4207.905,0.59,2482.66395,-0.5,-0.02,0,0.00,0,0.00,33.53,0.03
9,Entry long,2025-12-02 23:15,L,4207.905,0.59,2482.66395,-0.5,-0.02,0,0.00,0,0.00,33.53,0.03
10,Exit long,2025-12-03 02:15,S,4224.105,0.59,2482.66395,9.06,0.36,9.52,0.38,-2.16,-0.09,42.84,0.04
10,Entry long,2025-12-02 23:15,L,4207.905,0.59,2482.66395,9.06,0.36,9.52,0.38,-2.16,-0.09,42.84,0.04
11,Exit short,2025-12-03 05:45,2R partial,4204.008,0.59,2492.22195,11.36,0.46,11.61,0.47,-3.18,-0.13,53.95,0.05
11,Entry short,2025-12-03 02:15,S,4224.105,0.59,2492.22195,11.36,0.46,11.61,0.47,-3.18,-0.13,53.95,0.05
12,Exit short,2025-12-03 10:15,L,4195.5,0.59,2492.22195,16.38,0.66,16.75,0.67,-3.18,-0.13,70.58,0.07
12,Entry short,2025-12-03 02:15,S,4224.105,0.59,2492.22195,16.38,0.66,16.75,0.67,-3.18,-0.13,70.58,0.07
13,Exit long,2025-12-03 10:15,HTF runner,4195.5,0.6,2517.3,-0.5,-0.02,0,0.00,0,0.00,69.83,0.07
13,Entry long,2025-12-03 10:15,L,4195.5,0.6,2517.3,-0.5,-0.02,0,0.00,0,0.00,69.83,0.07
14,Exit long,2025-12-03 12:30,2R partial,4211.336,0.59,2475.345,8.85,0.36,9.1,0.37,-0.75,-0.03,78.92,0.08
14,Entry long,2025-12-03 10:15,L,4195.5,0.59,2475.345,8.85,0.36,9.1,0.37,-0.75,-0.03,78.92,0.08
